experiment,analysis_status,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients
A1_P0_CURRENT_P2,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6221447340201696,0.4238025811684395,0.8204868868718996,0.6628484978209584,0.513980586293251,0.7369010284009028,0.6746868808499009,0.5375,12.425,0.12869018338889643,0.6412310712491026,80.0,7635.0,0.22829076620825148,0.2309102815979044,80.0,80.0
A3_P2_TEMPORAL_Q10,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6284640770231468,0.4303441475289965,0.826584006517297,0.6652685203287666,0.5211757734041642,0.740946917213695,0.6886285891121532,0.5625,12.1875,0.12623748653219832,0.6487672375803516,80.0,7635.0,0.22829076620825148,0.22082514734774067,80.0,80.0
B1_P2_Q10_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6284640770231468,0.4303441475289965,0.826584006517297,0.6652685203287666,0.5211757734041642,0.740946917213695,0.6886285891121532,0.5625,12.1875,0.12623748653219832,0.6487672375803516,80.0,7635.0,0.22829076620825148,0.22082514734774067,80.0,80.0
B2_V3_QBC_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6225383624058317,0.42867992218908446,0.816396802622579,0.6710497027327393,0.5552540713183796,0.7328889767325487,0.775641728613139,0.6875,12.35,0.13066906492567468,0.6572080494563401,80.0,7635.0,0.22829076620825148,0.2361493123772102,80.0,80.0
B3_P2_Q10_V3_LOCKED_FUSION,EXPLORATORY_LOCKED_FUSION,0.6432651653484063,0.45652550572091266,0.8300048249759001,0.6835376920076838,0.5340242781131186,0.7445908122028875,0.7464776809403334,0.6625,11.6625,0.12036392768818405,0.6503983337462481,80.0,7635.0,0.22829076620825148,0.23077930582842174,80.0,80.0
W_V3_0.00,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6284640770231468,0.4303441475289965,0.826584006517297,0.6652685203287666,0.5211757734041642,0.740946917213695,0.6886285891121532,0.5625,12.1875,0.12623748653219832,0.6487672375803516,80.0,7635.0,0.22829076620825148,0.22082514734774067,80.0,80.0
W_V3_0.05,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6309220351391573,0.43396536623184534,0.8278787040464695,0.6678127611221272,0.5283337680420901,0.7433222942514368,0.7156248185249708,0.6125,12.025,0.1241319527226898,0.6488768487494285,80.0,7635.0,0.22829076620825148,0.2217419777341192,80.0,80.0
W_V3_0.10,EXPLORATORY_LOCKED_FUSION,0.6432651653484063,0.45652550572091266,0.8300048249759001,0.6835376920076838,0.5340242781131186,0.7445908122028875,0.7464776809403334,0.6625,11.6625,0.12036392768818405,0.6503983337462481,80.0,7635.0,0.22829076620825148,0.23077930582842174,80.0,80.0
W_V3_0.20,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6372482709605034,0.4534901866548121,0.8210063552661946,0.6822080618342594,0.5416465300741724,0.7463196794047763,0.7499331132077143,0.6625,12.3375,0.12602343838994748,0.6510407021642466,80.0,7635.0,0.22829076620825148,0.24466273739358219,80.0,80.0
W_V3_0.50,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION,0.6332168569582292,0.43612684716699324,0.8303068667494653,0.6747060907261815,0.5563781678370863,0.7439046632064452,0.7631233030492899,0.6625,12.125,0.12790366825725513,0.6585126183715723,80.0,7635.0,0.22829076620825148,0.21362148002619516,80.0,80.0
