outer_fold,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,experiment,analysis_status
1,0.594415194492013,0.3977678276283735,0.7910625613556523,0.6729717276996598,0.48357338427391283,0.7248221560216318,0.6276785714285714,0.4375,17.0625,0.17720149648055378,0.6134732526779128,16,1631,0.2305334150827713,0.23973022685469036,16,16,B1_P2_Q10_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
2,0.6500487571712379,0.4170765411465644,0.8830209731959113,0.6798461334522505,0.467839646953856,0.7577775351789944,0.7161077235772357,0.625,8.875,0.08183135764153478,0.6447564443744823,16,1498,0.157543391188251,0.1882510013351135,16,16,B1_P2_Q10_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
3,0.6136282354625638,0.36775816641176545,0.859498304513362,0.639406913473745,0.491857366054089,0.7737187425093397,0.5704979360165119,0.35294117647058826,14.117647058823529,0.13446089185676585,0.6609575074698149,17,1746,0.2124856815578465,0.14948453608247422,17,17,B1_P2_Q10_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
4,0.6156242857197968,0.4557557833454237,0.7754927880941699,0.6215824269936789,0.534001226904298,0.6883519796416364,0.6896938775510204,0.6,10.2,0.11557539453716663,0.6243492807338147,15,1425,0.28912280701754384,0.2617543859649123,15,15,B1_P2_Q10_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
5,0.6687286654111995,0.518862270171209,0.81859506065119,0.7114213696194946,0.6312412341378033,0.754728750037641,0.8466145833333334,0.8125,10.4375,0.12093794856249568,0.6980116884747336,16,1335,0.2606741573033708,0.28389513108614234,16,16,B1_P2_Q10_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
1,0.5835396430741575,0.3983954281873021,0.7686838579610129,0.659682356182601,0.5232087218396708,0.693458927756435,0.803125,0.75,16.25,0.16355100836079253,0.624203165553477,16,1631,0.2305334150827713,0.2893930104230533,16,16,B2_V3_QBC_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
2,0.6392210666603877,0.4007501526750856,0.87769198064569,0.6795007923280647,0.4890065733984633,0.7561797925114084,0.7358993902439024,0.5625,7.5,0.07548244824484526,0.6573161746008307,16,1498,0.157543391188251,0.17356475300400534,16,16,B2_V3_QBC_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
3,0.6505437294925761,0.44993426319092134,0.8511531957942308,0.6993433491012416,0.5681532222738794,0.7642576659283704,0.7923116615067078,0.7058823529411765,14.352941176470589,0.13152233683415046,0.6642941993785013,17,1746,0.2124856815578465,0.1849942726231386,17,17,B2_V3_QBC_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
4,0.5793613667446329,0.3717148120829662,0.7870079214062997,0.5916929598501158,0.5338364367453289,0.6582470986904575,0.7365599476036369,0.6666666666666666,12.066666666666666,0.14385263542317037,0.6032024771399005,15,1425,0.28912280701754384,0.19157894736842104,15,15,B2_V3_QBC_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
5,0.6555771083856581,0.5177162391148997,0.7934379776564164,0.718300906873478,0.6599206032390206,0.7856757383237026,0.8068281615925059,0.75,11.4375,0.13970753942722852,0.7332059979690786,16,1335,0.2606741573033708,0.35580524344569286,16,16,B2_V3_QBC_ONLY,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
1,0.5977687039294951,0.3988235439139953,0.7967138639449949,0.6730848361641669,0.5025259421750268,0.7244949545711099,0.7048611111111112,0.5625,16.875,0.1764795473377881,0.6236210561569433,16,1631,0.2305334150827713,0.2317596566523605,16,16,B3_P2_Q10_V3_LOCKED_FUSION,EXPLORATORY_LOCKED_FUSION
2,0.666682456264136,0.4492818752255482,0.8840830373027239,0.7051617241852426,0.46976089181336567,0.7594044908982255,0.6959154158849281,0.5625,9.125,0.08525966882942002,0.6372397040798765,16,1498,0.157543391188251,0.19893190921228304,16,16,B3_P2_Q10_V3_LOCKED_FUSION,EXPLORATORY_LOCKED_FUSION
3,0.651833731109791,0.45166396329464,0.8520034989249422,0.6892343917324917,0.5177500730391904,0.7815510370309422,0.7688279857397504,0.7058823529411765,13.294117647058824,0.12181789885155953,0.6617252864710511,17,1746,0.2124856815578465,0.211340206185567,17,17,B3_P2_Q10_V3_LOCKED_FUSION,EXPLORATORY_LOCKED_FUSION
4,0.6200849848758997,0.4629439064567435,0.7772260632950557,0.627740739154975,0.5452876792979834,0.6924655324695926,0.7148809523809524,0.6666666666666666,9.733333333333333,0.11161101941852992,0.6272901715423524,15,1425,0.28912280701754384,0.26526315789473687,15,15,B3_P2_Q10_V3_LOCKED_FUSION,EXPLORATORY_LOCKED_FUSION
5,0.6779716539230918,0.5206192361612677,0.8353240716849157,0.7186234155154474,0.6365179046312013,0.759470202009483,0.84453125,0.8125,9.0625,0.10601357403905831,0.6999632557979731,16,1335,0.2606741573033708,0.2539325842696629,16,16,B3_P2_Q10_V3_LOCKED_FUSION,EXPLORATORY_LOCKED_FUSION
