metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.7843715846994536,0.4,1.0,1830,170
balanced_accuracy,0.7510701275045538,0.5,1.0,1830,170
macro_f1,0.7008070951513574,0.2857142857142857,1.0,1830,170
weighted_f1,0.7464784456587736,0.22857142857142856,1.0,1830,170
auroc,0.661703096539162,0.0,1.0,1830,170
success_auprc,0.770992714025501,0.25,1.0,1830,170
failure_auprc,0.8034638737097753,0.3310416666666667,1.0,1830,170
success_precision,0.7333333333333333,0.0,1.0,1830,170
success_recall,0.5021402550091074,0.0,1.0,1830,170
failure_precision,0.7339890710382514,0.3333333333333333,1.0,1830,170
failure_recall,1.0,1.0,1.0,1830,170
brier,0.22791895825288494,0.011551974976604677,0.5999999974495998,1830,170
ece,0.2667678825176958,0.04806671219420437,0.5999999987230553,1830,170
