metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class,success_label,failure_label,threshold,threshold_source,inner_cv_used
success_auprc,0.8088235294117647,0.3333333333333333,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_auprc,0.9352941176470587,0.8333333333333333,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
auroc,0.8284313725490197,0.5,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
macro_f1,0.37441643323996265,0.2857142857142857,0.4444444444444444,17,3,1,0,0.5,fixed_predefined_0_5,False
weighted_f1,0.47469654528478045,0.22857142857142856,0.711111111111111,17,3,1,0,0.5,fixed_predefined_0_5,False
balanced_accuracy,0.5,0.5,0.5,17,3,1,0,0.5,fixed_predefined_0_5,False
accuracy,0.611764705882353,0.4,0.8,17,3,1,0,0.5,fixed_predefined_0_5,False
success_precision,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
success_recall,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_precision,0.611764705882353,0.4,0.8,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_recall,1.0,1.0,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
specificity_for_failure,1.0,1.0,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
brier,0.24190407037430064,0.23412933570298805,0.24928543359063485,17,3,1,0,0.5,fixed_predefined_0_5,False
ece,0.14826127956895266,0.07840974807739257,0.2802976441383362,17,3,1,0,0.5,fixed_predefined_0_5,False
